origin_zone,dest_zone,length_in,width_in,height_in,weight_lb,service,declared_value,true_price
ZONE-1-NE,ZONE-10-PACIFIC,15,12,10,8.5,standard,150,95.50
ZONE-3-SE,ZONE-5-MIDWEST,10,10,8,5.0,expedited,200,58.25
ZONE-5-MIDWEST,ZONE-2-MID-ATL,20,15,12,12.0,standard,300,65.80
ZONE-10-PACIFIC,ZONE-4-GULF,18,14,10,15.5,expedited,500,145.40
ZONE-7-SOUTH-CENTRAL,ZONE-1-NE,12,10,8,7.0,standard,100,105.20
ZONE-8-MOUNTAIN,ZONE-10-PACIFIC,16,12,10,9.5,standard,250,72.75
ZONE-2-MID-ATL,ZONE-3-SE,14,11,9,6.5,expedited,180,68.50
ZONE-3-SE,ZONE-5-MIDWEST,11,10,7,4.5,standard,120,52.30
ZONE-10-PACIFIC,ZONE-8-MOUNTAIN,13,11,8,8.0,standard,220,65.90
ZONE-6-PLAINS,ZONE-9-SOUTHWEST,17,13,11,11.0,expedited,350,88.60
ZONE-11-ALASKA,ZONE-10-PACIFIC,12,10,8,10.0,standard,200,175.50
ZONE-12-HAWAII,ZONE-3-SE,14,12,9,8.5,expedited,300,285.75
